No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
1,27.1,100521.0,-0.11,0.063,-0.992,-50.0,-55.0,-10.0,-8.789,0.488,-0.122,0.0,0.0,0,70.05336236378922,0.5000665
2,27.1,100522.0,-0.113,0.052,-0.986,-50.0,-55.0,-10.0,-9.643,0.976,-0.427,0.0,0.0,0,69.96581754558437,0.49383449999999995
3,27.2,100524.0,-0.124,0.04,-1.001,-50.0,-55.0,-10.0,-9.216,-0.122,0.305,0.0,0.0,0,69.81397522566111,0.5094884999999999
4,27.2,100519.0,-0.112,0.037,-0.998,-50.0,-55.0,-10.0,-7.08,-1.586,0.061,0.0,0.0,0,70.25184510335004,0.5049585
5,27.2,100514.0,-0.112,0.039,-0.995,-50.0,-55.0,-10.0,-7.263,-2.197,-0.183,0.0,0.0,0,70.68974090538691,0.5020450000000001
6,27.2,100527.0,-0.109,0.033,-0.993,-50.0,-55.0,-10.0,-8.056,-2.441,-0.305,0.0,0.0,0,69.55126574156675,0.4995095
7,27.2,100515.0,-0.111,0.03,-0.988,-50.0,-55.0,-10.0,-5.371,-0.976,0.122,0.0,0.0,0,70.60215967089668,0.4946825
8,27.2,100517.0,-0.114,0.03,-0.992,-50.0,-55.0,-10.0,-4.943,-0.915,0.061,0.0,0.0,0,70.42700031308667,0.49898
9,27.2,100516.0,-0.114,0.029,-0.991,-50.0,-55.0,-10.0,-4.699,-0.671,0.244,0.0,0.0,0,70.51457947347352,0.497959
10,27.2,100521.0,-0.11,0.034,-0.991,-50.0,-55.0,-10.0,-4.638,-0.976,0.244,0.0,0.0,0,70.07669404151237,0.4976685
11,27.2,100525.0,-0.112,0.03,-0.992,-50.0,-55.0,-10.0,-4.638,-0.976,0.122,0.0,0.0,0,69.72640436079514,0.498754
12,27.2,100519.0,-0.114,0.03,-0.995,-50.0,-55.0,-10.0,-4.577,-0.793,0.366,0.0,0.0,0,70.25184510335004,0.5019605
13,27.2,100523.0,-0.111,0.028,-0.998,-50.0,-55.0,-10.0,-4.638,-0.854,0.427,0.0,0.0,0,69.90154712738897,0.5045545
14,27.2,100524.0,-0.111,0.027,-0.993,-50.0,-55.0,-10.0,-4.516,-1.037,0.61,0.0,0.0,0,69.81397522566111,0.4995495
15,27.2,100526.0,-0.112,0.03,-0.989,-50.0,-55.0,-10.0,-4.76,-0.915,0.183,0.0,0.0,0,69.63883453277053,0.4957825
16,27.2,100518.0,-0.108,0.026,-0.992,-50.0,-55.0,-10.0,-4.638,-0.976,0.427,0.0,0.0,0,70.3394221897156,0.498202
17,27.2,100521.0,-0.112,0.028,-0.99,-50.0,-55.0,-10.0,-4.638,-0.732,0.183,0.0,0.0,0,70.07669404151237,0.496714
18,27.2,100522.0,-0.112,0.022,-0.984,-50.0,-55.0,-10.0,-5.31,-0.915,0.244,0.0,0.0,0,69.9891200659992,0.490642
19,27.2,100524.0,-0.114,0.024,-0.988,-50.0,-55.0,-10.0,-5.981,-0.793,-0.244,0.0,0.0,0,69.81397522566111,0.494858
20,27.2,100524.0,-0.111,0.022,-0.991,-50.0,-55.0,-10.0,-7.019,0.366,-0.854,0.0,0.0,0,69.81397522566111,0.49744299999999997
21,27.2,100529.0,-0.116,0.021,-0.988,-50.0,-55.0,-10.0,-5.249,-1.403,0.061,0.0,0.0,0,69.37613126950885,0.49502050000000003
22,27.2,100519.0,-0.113,0.02,-0.991,-50.0,-55.0,-10.0,-5.249,-1.098,0.366,0.0,0.0,0,70.25184510335004,0.497625
23,27.2,100518.0,-0.113,0.019,-0.995,-50.0,-55.0,-10.0,-5.187,-1.159,0.244,0.0,0.0,0,70.3394221897156,0.5015775
24,27.2,100513.0,-0.113,0.018,-0.991,-50.0,-55.0,-10.0,-4.821,-1.098,0.244,0.0,0.0,0,70.77732317696474,0.497587
25,27.2,100521.0,-0.116,0.021,-0.992,-50.0,-55.0,-10.0,-4.821,-1.22,-0.061,0.0,0.0,0,70.07669404151237,0.4989805
26,27.2,100516.0,-0.115,0.018,-1.0,-50.0,-55.0,-10.0,-4.699,-1.037,0.122,0.0,0.0,0,70.51457947347352,0.5067745
27,27.2,100523.0,-0.113,0.016,-0.992,-50.0,-55.0,-10.0,-4.76,-0.915,0.305,0.0,0.0,0,69.90154712738897,0.49854449999999995
28,27.2,100518.0,-0.116,0.019,-0.988,-50.0,-55.0,-10.0,-10.009,1.77,-0.244,0.0,0.0,0,70.3394221897156,0.4949805
29,27.2,100520.0,-0.114,0.023,-0.96,-50.0,-55.0,-10.0,-13.122,4.15,-0.671,0.0,0.0,0,70.16426905394897,0.4675625
