No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
1,25.899,100692.0,0.052,0.052,-0.992,-50.0,-55.0,-10.0,-5.737,0.122,0.366,0.0,0.0,0
2,25.899,100699.0,0.06,0.073,-0.954,-50.0,-55.0,-10.0,-0.915,-1.77,1.159,0.0,0.0,0
3,25.899,100697.0,0.083,0.049,-0.981,-50.0,-55.0,-10.0,-12.817,-1.403,4.333,0.0,0.0,0
4,25.899,100698.0,0.072,0.034,-0.999,-50.0,-55.0,-10.0,-6.713,-2.441,3.54,0.0,0.0,0
5,25.899,100697.0,0.066,0.039,-0.989,-50.0,-55.0,-10.0,-2.258,1.22,0.366,0.0,0.0,0
6,26.0,100692.0,0.063,0.061,-0.956,-50.0,-55.0,-10.0,-5.615,0.244,0.366,0.0,0.0,0
7,26.0,100703.0,0.059,0.035,-1.01,-50.0,-55.0,-10.0,-8.3,0.793,0.976,0.0,0.0,0
8,26.0,100702.0,0.062,0.043,-0.997,-50.0,-55.0,-10.0,-0.671,-2.075,0.61,0.0,0.0,0
9,26.0,100707.0,0.067,0.058,-0.975,-50.0,-55.0,-10.0,-8.117,-1.708,-0.122,0.0,0.0,0
10,26.0,100701.0,0.053,0.043,-0.983,-50.0,-55.0,-10.0,0.427,-3.723,0.793,0.0,0.0,0
11,26.0,100698.0,0.07,0.035,-0.971,-50.0,-55.0,-10.0,-8.972,0.793,1.342,0.0,0.0,0
12,26.0,100702.0,0.067,0.059,-0.958,-50.0,-55.0,-10.0,-8.422,-0.427,3.54,0.0,0.0,0
13,26.0,100700.0,0.053,0.044,-1.006,-50.0,-55.0,-10.0,-6.408,-1.77,3.356,0.0,0.0,0
14,26.0,100697.0,0.059,0.054,-0.976,-50.0,-55.0,-10.0,-7.568,-3.173,1.831,0.0,0.0,0
15,26.0,100700.0,0.025,0.061,-1.005,-50.0,-55.0,-10.0,-3.417,2.99,-6.225,0.0,0.0,0
16,26.0,100698.0,0.058,0.035,-0.98,-50.0,-55.0,-10.0,-0.305,-1.159,-18.066,0.0,0.0,0
17,26.0,100695.0,0.077,0.032,-1.003,-50.0,-55.0,-10.0,-6.896,-5.554,-16.479,0.0,0.0,0
18,26.0,100696.0,0.067,0.042,-0.969,-50.0,-55.0,-10.0,5.31,-0.61,-19.836,0.0,0.0,0
