No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
1,26.399,100693.0,0.093,0.009,-0.985,-50.0,-55.0,-10.0,-4.394,-0.915,0.488,0.0,0.0,0
2,26.399,100689.0,0.089,0.013,-0.984,-50.0,-55.0,-10.0,-4.516,-0.915,0.305,0.0,0.0,0
3,26.399,100688.0,0.091,0.007,-0.98,-50.0,-55.0,-10.0,-4.394,-0.793,0.366,0.0,0.0,0
4,26.399,100696.0,0.083,0.01,-0.973,-50.0,-55.0,-10.0,-4.516,-0.915,0.488,0.0,0.0,0
5,26.5,100691.0,0.085,0.01,-0.98,-50.0,-55.0,-10.0,-4.394,-0.915,0.244,0.0,0.0,0
6,26.5,100694.0,0.084,0.012,-0.984,-50.0,-55.0,-10.0,-4.577,-0.854,0.122,0.0,0.0,0
7,26.5,100693.0,0.091,0.009,-0.983,-50.0,-55.0,-10.0,-4.577,-0.854,0.366,0.0,0.0,0
8,26.5,100696.0,0.094,0.011,-0.984,-50.0,-55.0,-10.0,-4.516,-1.22,0.366,0.0,0.0,0
9,26.5,100695.0,0.087,0.011,-0.985,-50.0,-55.0,-10.0,-4.394,-0.854,0.244,0.0,0.0,0
10,26.5,100696.0,0.091,0.009,-0.985,-50.0,-55.0,-10.0,-4.455,-0.671,0.427,0.0,0.0,0
11,26.5,100695.0,0.084,0.011,-0.982,-50.0,-55.0,-10.0,-4.821,-0.976,0.244,0.0,0.0,0
12,26.5,100699.0,0.088,0.012,-0.989,-50.0,-55.0,-10.0,-4.638,-0.915,0.305,0.0,0.0,0
13,26.5,100698.0,0.088,0.01,-0.979,-50.0,-55.0,-10.0,-4.577,-1.098,0.183,0.0,0.0,0
14,26.5,100691.0,0.089,0.008,-0.983,-50.0,-55.0,-10.0,-4.455,-0.793,0.244,0.0,0.0,0
15,26.5,100707.0,0.087,0.008,-0.983,-50.0,-55.0,-10.0,-4.699,-1.037,0.427,0.0,0.0,0
16,26.5,100701.0,0.087,0.011,-0.987,-50.0,-55.0,-10.0,-4.638,-0.793,0.366,0.0,0.0,0
17,26.5,100703.0,0.088,0.009,-0.983,-50.0,-55.0,-10.0,-4.455,-1.098,0.305,0.0,0.0,0
18,26.5,100707.0,0.086,0.014,-0.982,-50.0,-55.0,-10.0,-4.394,-0.915,0.305,0.0,0.0,0
19,26.5,100700.0,0.089,0.009,-0.987,-50.0,-55.0,-10.0,-4.699,-0.915,0.305,0.0,0.0,0
20,26.5,100704.0,0.088,0.011,-0.976,-50.0,-55.0,-10.0,-4.455,-1.159,0.427,0.0,0.0,0
21,26.5,100700.0,0.087,0.006,-0.973,-50.0,-55.0,-10.0,-4.333,-0.732,0.061,0.0,0.0,0
22,26.5,100704.0,0.083,0.011,-0.985,-50.0,-55.0,-10.0,-4.638,-0.793,0.183,0.0,0.0,0
23,26.5,100704.0,0.089,0.011,-0.982,-50.0,-55.0,-10.0,-4.577,-0.976,0.305,0.0,0.0,0
24,26.5,100700.0,0.089,0.012,-0.983,-50.0,-55.0,-10.0,-4.577,-1.037,0.244,0.0,0.0,0
25,26.5,100706.0,0.085,0.012,-0.982,-50.0,-55.0,-10.0,-4.455,-0.976,0.244,0.0,0.0,0
26,26.5,100705.0,0.086,0.014,-0.981,-50.0,-55.0,-10.0,-4.455,-0.915,0.122,0.0,0.0,0
27,26.5,100704.0,0.086,0.008,-0.982,-50.0,-55.0,-10.0,-4.516,-0.671,0.122,0.0,0.0,0
28,26.5,100699.0,0.086,0.009,-0.986,-50.0,-55.0,-10.0,-4.333,-0.793,0.427,0.0,0.0,0
29,26.5,100699.0,0.086,0.011,-0.984,-50.0,-55.0,-10.0,-4.76,-1.037,0.183,0.0,0.0,0
30,26.5,100698.0,0.089,0.011,-0.982,-50.0,-55.0,-10.0,-4.577,-0.732,0.183,0.0,0.0,0
31,26.5,100699.0,0.087,0.009,-0.977,-50.0,-55.0,-10.0,-4.577,-0.793,0.488,0.0,0.0,0
32,26.5,100708.0,0.09,0.01,-0.985,-50.0,-55.0,-10.0,-4.516,-0.793,0.366,0.0,0.0,0
33,26.6,100706.0,0.092,0.008,-0.987,-50.0,-55.0,-10.0,-4.516,-0.793,0.427,0.0,0.0,0
34,26.5,100703.0,0.091,0.01,-0.982,-50.0,-55.0,-10.0,-4.455,-0.671,0.305,0.0,0.0,0
35,26.5,100697.0,0.091,0.01,-0.979,-50.0,-55.0,-10.0,-4.455,-0.854,0.366,0.0,0.0,0
36,26.5,100693.0,0.088,0.014,-0.987,-50.0,-55.0,-10.0,-4.882,-0.915,0.305,0.0,0.0,0
37,26.5,100696.0,0.09,0.009,-0.977,-50.0,-55.0,-10.0,-4.577,-0.976,0.061,0.0,0.0,0
38,26.6,100697.0,0.088,0.011,-0.984,-50.0,-55.0,-10.0,-4.638,-0.915,0.488,0.0,0.0,0
39,26.5,100700.0,0.085,0.009,-0.99,-50.0,-55.0,-10.0,-4.821,-1.098,0.122,0.0,0.0,0
40,26.6,100701.0,0.093,0.014,-0.983,-50.0,-55.0,-10.0,-4.638,-0.793,0.488,0.0,0.0,0
41,26.5,100696.0,0.087,0.013,-0.984,-50.0,-55.0,-10.0,-4.882,-0.793,0.244,0.0,0.0,0
42,26.5,100694.0,0.085,0.01,-0.983,-50.0,-55.0,-10.0,-4.638,-0.854,0.305,0.0,0.0,0
43,26.6,100698.0,0.087,0.013,-0.983,-50.0,-55.0,-10.0,-4.638,-0.732,0.427,0.0,0.0,0
44,26.6,100696.0,0.084,0.011,-0.984,-50.0,-55.0,-10.0,-4.333,-1.159,0.366,0.0,0.0,0
45,26.6,100702.0,0.086,0.015,-0.98,-50.0,-55.0,-10.0,-4.516,-0.854,0.427,0.0,0.0,0
46,26.6,100699.0,0.089,0.01,-0.987,-50.0,-55.0,-10.0,-4.699,-0.976,0.244,0.0,0.0,0
47,26.6,100699.0,0.087,0.009,-0.98,-50.0,-55.0,-10.0,-4.638,-0.976,0.244,0.0,0.0,0
48,26.6,100696.0,0.089,0.012,-0.986,-50.0,-55.0,-10.0,-4.516,-0.671,0.305,0.0,0.0,0
49,26.6,100702.0,0.083,0.009,-0.985,-50.0,-55.0,-10.0,-4.76,-0.976,0.366,0.0,0.0,0
50,26.6,100705.0,0.088,0.005,-0.978,-50.0,-55.0,-10.0,-4.516,-0.854,0.305,0.0,0.0,0
51,26.6,100703.0,0.087,0.013,-0.982,-50.0,-55.0,-10.0,-4.394,-0.915,0.305,0.0,0.0,0
52,26.6,100701.0,0.089,0.008,-0.975,-50.0,-55.0,-10.0,-4.516,-0.915,0.244,0.0,0.0,0
53,26.6,100709.0,0.087,0.011,-0.966,-50.0,-55.0,-10.0,-4.577,-0.244,0.183,0.0,0.0,0
54,26.6,100713.0,0.088,0.012,-0.98,-50.0,-55.0,-10.0,-4.516,-0.976,0.244,0.0,0.0,0
55,26.6,100712.0,0.092,0.011,-0.98,-50.0,-55.0,-10.0,-4.577,-0.671,0.366,0.0,0.0,0
56,26.6,100706.0,0.088,0.015,-0.988,-50.0,-55.0,-10.0,-4.455,-0.793,0.183,0.0,0.0,0
57,26.6,100697.0,0.092,0.004,-0.978,-50.0,-55.0,-10.0,-4.394,-0.732,0.122,0.0,0.0,0
58,26.6,100701.0,0.087,0.01,-0.986,-50.0,-55.0,-10.0,-4.394,-0.915,0.122,0.0,0.0,0
59,26.6,100701.0,0.089,0.008,-0.983,-50.0,-55.0,-10.0,-4.516,-0.732,0.305,0.0,0.0,0
60,26.6,100706.0,0.085,0.012,-0.983,-50.0,-55.0,-10.0,-4.638,-0.854,0.122,0.0,0.0,0
61,26.6,100710.0,0.09,0.01,-0.981,-50.0,-55.0,-10.0,-4.272,-0.915,0.427,0.0,0.0,0
62,26.6,100700.0,0.089,0.01,-0.978,-50.0,-55.0,-10.0,-4.516,-0.915,0.427,0.0,0.0,0
63,26.6,100709.0,0.087,0.015,-0.986,-50.0,-55.0,-10.0,-4.577,-0.854,0.366,0.0,0.0,0
64,26.6,100701.0,0.091,0.01,-0.984,-50.0,-55.0,-10.0,-4.516,-1.098,0.366,0.0,0.0,0
65,26.6,100707.0,0.088,0.012,-0.983,-50.0,-55.0,-10.0,-4.577,-0.854,0.488,0.0,0.0,0
66,26.6,100707.0,0.087,0.012,-0.981,-50.0,-55.0,-10.0,-4.577,-0.854,0.427,0.0,0.0,0
67,26.6,100700.0,0.088,0.009,-0.984,-50.0,-55.0,-10.0,-4.638,-0.793,0.366,0.0,0.0,0
68,26.6,100702.0,0.086,0.013,-0.984,-50.0,-55.0,-10.0,-4.333,-0.854,0.488,0.0,0.0,0
69,26.6,100702.0,0.086,0.014,-0.982,-50.0,-55.0,-10.0,-4.638,-0.854,0.244,0.0,0.0,0
70,26.6,100701.0,0.086,0.01,-0.982,-50.0,-55.0,-10.0,-4.333,-0.915,0.305,0.0,0.0,0
71,26.6,100699.0,0.086,0.012,-0.994,-50.0,-55.0,-10.0,-4.76,-0.854,0.549,0.0,0.0,0
