No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
1,27.1,100727.0,0.075,0.002,-0.999,-50.0,-55.0,-10.0,-0.061,-5.126,0.976,0.0,0.0,0
2,27.1,100733.0,0.066,0.007,-1.005,-50.0,-55.0,-10.0,0.61,-4.638,2.746,0.0,0.0,0
3,27.2,100732.0,0.082,0.031,-0.996,-50.0,-55.0,-10.0,0.61,-12.756,-3.173,0.0,0.0,0
4,27.2,100734.0,0.086,0.028,-0.975,-50.0,-55.0,-10.0,4.76,-9.582,3.356,0.0,0.0,0
5,27.2,100737.0,0.142,0.037,-0.971,-50.0,-55.0,-10.0,-6.835,-5.981,0.0,0.0,0.0,0
6,27.2,100735.0,0.121,0.038,-0.994,-50.0,-55.0,-10.0,-11.352,5.859,1.281,0.0,0.0,0
7,27.2,100735.0,0.116,0.042,-1.001,-50.0,-55.0,-10.0,-5.493,-3.662,-3.54,0.0,0.0,0
8,27.2,100742.0,0.125,0.023,-0.986,-50.0,-55.0,-10.0,-10.07,10.07,-0.915,0.0,0.0,0
9,27.2,100739.0,0.115,0.009,-1.015,-50.0,-55.0,-10.0,-4.394,2.99,-5.859,0.0,0.0,0
10,27.2,100739.0,0.12,0.004,-0.998,-50.0,-55.0,-10.0,-3.479,7.873,-2.929,0.0,0.0,0
11,27.2,100740.0,0.11,-0.043,-0.967,-50.0,-55.0,-10.0,-15.625,8.605,-0.305,0.0,0.0,0
12,27.2,100734.0,0.083,0.011,-1.03,-50.0,-55.0,-10.0,0.305,-2.502,9.033,0.0,0.0,0
13,27.2,100737.0,0.064,-0.028,-0.957,-50.0,-55.0,-10.0,-19.47,12.451,18.554,0.0,0.0,0
14,27.2,100741.0,0.028,-0.049,-0.986,-50.0,-55.0,-10.0,-13.122,7.019,14.099,0.0,0.0,0
15,27.299,100734.0,0.041,-0.038,-0.937,-50.0,-55.0,-10.0,-14.343,7.812,32.409,0.0,0.0,0
16,27.299,100743.0,0.092,-0.052,-0.964,-50.0,-55.0,-10.0,-7.263,2.807,47.302,0.0,0.0,0
17,27.299,100738.0,0.016,-0.058,-0.973,-50.0,-55.0,-10.0,-15.808,18.493,63.659,0.0,0.0,0
18,27.299,100746.0,0.033,-0.011,-1.067,-50.0,-55.0,-10.0,12.268,2.197,71.655,0.0,0.0,0
19,27.299,100740.0,0.0,-0.028,-1.014,-50.0,-55.0,-10.0,-11.413,-2.99,65.307,0.0,0.0,0
20,27.299,100741.0,-0.024,-0.03,-0.991,-50.0,-55.0,-10.0,-4.272,4.211,56.457,0.0,0.0,0
21,27.299,100738.0,0.012,-0.036,-0.971,-50.0,-55.0,-10.0,6.225,-2.746,47.119,0.0,0.0,0
22,27.299,100732.0,-0.01,-0.031,-1.013,-50.0,-55.0,-10.0,-0.915,-4.272,40.771,0.0,0.0,0
23,27.299,100736.0,0.024,-0.089,-0.961,-50.0,-55.0,-10.0,-15.563,7.69,32.836,0.0,0.0,0
24,27.299,100744.0,0.036,-0.068,-0.947,-50.0,-55.0,-10.0,-0.549,11.779,33.081,0.0,0.0,0
25,27.299,100742.0,0.041,-0.027,-1.0,-50.0,-55.0,-10.0,-12.145,-1.953,49.133,0.0,0.0,0
26,27.299,100740.0,0.018,-0.025,-0.979,-50.0,-55.0,-10.0,-26.428,1.586,48.095,0.0,0.0,0
27,27.299,100740.0,0.081,-0.111,-0.953,-50.0,-55.0,-10.0,-21.423,-4.699,32.531,0.0,0.0,0
28,27.299,100738.0,0.023,-0.017,-1.101,-50.0,-55.0,-10.0,37.414,-22.521,36.193,0.0,0.0,0
29,27.299,100741.0,0.069,-0.001,-0.995,-50.0,-55.0,-10.0,-16.418,28.808,10.07,0.0,0.0,0
30,27.299,100739.0,0.014,0.013,-1.048,-50.0,-55.0,-10.0,-4.15,12.023,23.193,0.0,0.0,0
31,27.299,100742.0,0.081,0.0,-0.952,-50.0,-55.0,-10.0,-6.774,9.094,22.644,0.0,0.0,0
32,27.299,100736.0,0.058,0.041,-0.941,-50.0,-55.0,-10.0,-22.155,15.686,16.113,0.0,0.0,0
33,27.299,100738.0,0.044,0.048,-0.999,-50.0,-55.0,-10.0,4.089,-11.413,13.0,0.0,0.0,0
34,27.299,100732.0,-0.004,-0.047,-0.965,-50.0,-55.0,-10.0,-19.958,-1.403,8.483,0.0,0.0,0
35,27.299,100731.0,-0.076,-0.009,-1.083,-50.0,-55.0,-10.0,17.761,-27.893,-1.403,0.0,0.0,0
36,27.299,100735.0,-0.041,-0.163,-0.938,-50.0,-55.0,-10.0,-24.475,26.245,-4.333,0.0,0.0,0
37,27.299,100733.0,-0.022,-0.105,-0.96,-50.0,-55.0,-10.0,2.746,-5.31,-16.967,0.0,0.0,0
38,27.299,100736.0,0.0,-0.11,-0.942,-50.0,-55.0,-10.0,-10.437,9.216,-7.69,0.0,0.0,0
39,27.299,100730.0,-0.031,-0.068,-0.971,-50.0,-55.0,-10.0,4.821,-1.708,-13.549,0.0,0.0,0
40,27.299,100737.0,-0.068,-0.026,-0.965,-50.0,-55.0,-10.0,-9.033,-0.732,-4.089,0.0,0.0,0
41,27.299,100738.0,-0.178,-0.082,-1.019,-50.0,-55.0,-10.0,2.319,-9.521,15.747,0.0,0.0,0
42,27.299,100736.0,0.073,-0.062,-1.01,-50.0,-55.0,-10.0,-10.864,0.244,0.061,0.0,0.0,0
43,27.299,100738.0,-0.02,-0.075,-1.019,-50.0,-55.0,-10.0,2.807,-8.3,-16.906,0.0,0.0,0
44,27.299,100734.0,-0.076,-0.015,-1.031,-50.0,-55.0,-10.0,-2.929,-17.15,-20.568,0.0,0.0,0
45,27.299,100730.0,-0.05,-0.045,-1.018,-50.0,-55.0,-10.0,-14.282,11.352,-32.287,0.0,0.0,0
46,27.299,100731.0,-0.053,-0.04,-1.015,-50.0,-55.0,-10.0,-2.197,-3.967,-29.113,0.0,0.0,0
47,27.299,100735.0,-0.024,-0.05,-0.975,-50.0,-55.0,-10.0,-1.403,-0.671,-30.334,0.0,0.0,0
48,27.299,100738.0,0.017,-0.041,-0.976,-50.0,-55.0,-10.0,0.671,2.624,-20.141,0.0,0.0,0
49,27.299,100734.0,0.013,-0.054,-0.929,-50.0,-55.0,-10.0,-2.441,9.826,-14.526,0.0,0.0,0
50,27.299,100741.0,0.056,-0.049,-0.98,-50.0,-55.0,-10.0,-8.056,1.586,-4.943,0.0,0.0,0
51,27.299,100734.0,0.09,-0.069,-0.966,-50.0,-55.0,-10.0,-21.301,6.53,4.089,0.0,0.0,0
52,27.299,100734.0,0.038,-0.066,-1.006,-50.0,-55.0,-10.0,2.563,-11.352,8.422,0.0,0.0,0
53,27.299,100742.0,-0.062,0.009,-1.123,-50.0,-55.0,-10.0,5.859,-13.122,21.728,0.0,0.0,0
54,27.299,100740.0,-0.036,-0.063,-0.974,-50.0,-55.0,-10.0,-13.549,-19.897,-13.549,0.0,0.0,0
55,27.299,100740.0,-0.081,-0.114,-0.955,-50.0,-55.0,-10.0,-6.53,0.305,1.159,0.0,0.0,0
56,27.299,100735.0,0.0,-0.093,-0.93,-50.0,-55.0,-10.0,16.235,-22.949,-31.127,0.0,0.0,0
57,27.299,100741.0,0.006,-0.124,-0.916,-50.0,-55.0,-10.0,-17.517,8.178,-18.92,0.0,0.0,0
58,27.299,100738.0,-0.025,-0.125,-0.95,-50.0,-55.0,-10.0,-10.864,-5.187,-9.826,0.0,0.0,0
59,27.299,100747.0,-0.05,-0.113,-1.011,-50.0,-55.0,-10.0,-7.019,-13.732,-12.634,0.0,0.0,0
60,27.299,100742.0,-0.005,-0.04,-1.019,-50.0,-55.0,-10.0,-17.456,-2.929,-11.169,0.0,0.0,0
61,27.299,100739.0,0.026,0.056,-1.139,-50.0,-55.0,-10.0,15.869,-5.615,-25.878,0.0,0.0,0
62,27.299,100741.0,0.058,-0.09,-0.967,-50.0,-55.0,-10.0,-2.868,21.789,-32.348,0.0,0.0,0
63,27.299,100740.0,-0.033,-0.026,-1.083,-50.0,-55.0,-10.0,9.765,-8.483,-31.738,0.0,0.0,0
64,27.299,100738.0,0.0,-0.075,-0.925,-50.0,-55.0,-10.0,-12.39,-0.061,-21.911,0.0,0.0,0
65,27.299,100741.0,0.0,-0.068,-0.964,-50.0,-55.0,-10.0,1.281,1.22,-14.465,0.0,0.0,0
66,27.299,100738.0,0.031,-0.043,-0.987,-50.0,-55.0,-10.0,-9.887,-9.826,-2.929,0.0,0.0,0
67,27.299,100746.0,0.066,-0.08,-0.977,-50.0,-55.0,-10.0,-20.568,2.929,5.92,0.0,0.0,0
68,27.299,100741.0,0.066,-0.136,-0.954,-50.0,-55.0,-10.0,-21.24,6.286,11.84,0.0,0.0,0
69,27.299,100736.0,0.021,-0.049,-1.008,-50.0,-55.0,-10.0,-0.549,4.638,30.151,0.0,0.0,0
70,27.299,100741.0,0.117,-0.044,-1.04,-50.0,-55.0,-10.0,16.784,-25.329,23.62,0.0,0.0,0
71,27.299,100738.0,-0.001,0.0,-1.115,-50.0,-55.0,-10.0,19.287,14.465,-5.798,0.0,0.0,0
72,27.299,100737.0,0.007,-0.018,-0.988,-50.0,-55.0,-10.0,-7.141,-4.333,-10.62,0.0,0.0,0
73,27.299,100738.0,0.022,-0.105,-0.911,-50.0,-55.0,-10.0,-20.751,11.352,-2.624,0.0,0.0,0
74,27.299,100740.0,0.021,-0.091,-0.952,-50.0,-55.0,-10.0,-3.051,-4.333,-8.117,0.0,0.0,0
75,27.299,100746.0,-0.024,-0.092,-0.989,-50.0,-55.0,-10.0,-8.544,-6.652,-11.413,0.0,0.0,0
76,27.299,100739.0,0.051,-0.173,-0.971,-50.0,-55.0,-10.0,-27.893,-2.624,-4.15,0.0,0.0,0
77,27.299,100745.0,0.028,-0.069,-1.015,-50.0,-55.0,-10.0,-7.446,4.272,-12.573,0.0,0.0,0
78,27.299,100739.0,0.05,-0.039,-1.09,-50.0,-55.0,-10.0,5.676,9.277,-17.944,0.0,0.0,0
79,27.299,100736.0,0.001,-0.119,-0.964,-50.0,-55.0,-10.0,-3.051,-5.371,-24.536,0.0,0.0,0
80,27.299,100736.0,0.022,-0.003,-1.019,-50.0,-55.0,-10.0,25.024,-16.784,-30.151,0.0,0.0,0
81,27.299,100733.0,0.001,-0.052,-0.887,-50.0,-55.0,-10.0,-11.718,7.08,-8.911,0.0,0.0,0
82,27.299,100735.0,0.023,-0.078,-0.918,-50.0,-55.0,-10.0,-7.202,5.615,-7.812,0.0,0.0,0
