No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
1,26.899,100765.0,0.015,0.001,-0.977,-50.0,-55.0,-10.0,-5.126,-2.807,1.037,0.0,0.0,0
2,27.0,100757.0,-0.003,0.002,-0.983,-50.0,-55.0,-10.0,-1.464,3.662,-1.403,0.0,0.0,0
3,27.0,100766.0,0.019,0.019,-1.002,-50.0,-55.0,-10.0,2.441,-1.892,-0.488,0.0,0.0,0
4,27.0,100772.0,0.013,0.022,-1.005,-50.0,-55.0,-10.0,-2.563,0.854,0.793,0.0,0.0,0
5,27.0,100773.0,0.027,0.017,-0.99,-50.0,-55.0,-10.0,-2.38,-1.77,-1.098,0.0,0.0,0
6,27.0,100762.0,0.015,0.013,-0.983,-50.0,-55.0,-10.0,-4.15,-0.244,-1.525,0.0,0.0,0
7,27.0,100766.0,-0.007,0.006,-1.008,-50.0,-55.0,-10.0,-7.263,4.15,-0.061,0.0,0.0,0
8,27.0,100762.0,0.001,0.006,-1.0,-50.0,-55.0,-10.0,-7.141,-8.056,0.061,0.0,0.0,0
9,27.0,100767.0,0.002,0.0,-0.986,-50.0,-55.0,-10.0,-3.356,-5.126,2.624,0.0,0.0,0
10,27.1,100775.0,0.021,-0.006,-0.993,-50.0,-55.0,-10.0,-4.577,-1.647,1.281,0.0,0.0,0
11,27.1,100770.0,0.032,0.006,-0.987,-50.0,-55.0,-10.0,-3.906,-7.324,-1.464,0.0,0.0,0
12,27.1,100770.0,0.064,-0.007,-0.995,-50.0,-55.0,-10.0,-1.464,1.708,-1.77,0.0,0.0,0
13,27.1,100774.0,0.086,-0.01,-0.998,-50.0,-55.0,-10.0,-7.995,0.976,3.051,0.0,0.0,0
14,27.1,100770.0,0.042,-0.027,-1.014,-50.0,-55.0,-10.0,-12.268,4.394,-0.549,0.0,0.0,0
15,27.1,100762.0,0.066,-0.045,-1.025,-50.0,-55.0,-10.0,-4.272,-4.516,-7.507,0.0,0.0,0
16,27.1,100770.0,0.073,-0.043,-1.002,-50.0,-55.0,-10.0,11.108,-0.305,-8.911,0.0,0.0,0
17,27.1,100768.0,0.06,-0.044,-0.967,-50.0,-55.0,-10.0,-5.981,-8.483,-10.375,0.0,0.0,0
18,27.1,100761.0,0.072,-0.031,-0.978,-50.0,-55.0,-10.0,-13.916,-4.577,-2.99,0.0,0.0,0
19,27.1,100762.0,0.045,-0.036,-1.016,-50.0,-55.0,-10.0,-5.737,2.868,-2.014,0.0,0.0,0
20,27.1,100764.0,0.089,-0.041,-0.933,-50.0,-55.0,-10.0,-6.958,-19.348,-8.544,0.0,0.0,0
