No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
1,26.6,101181.0,-0.003,-0.011,-0.992,-50.0,-55.0,-10.0,-4.333,-0.915,0.122,0.0,0.0,0,12.477318755603703,0.49209699999999995
2,26.6,101181.0,-0.002,-0.01,-0.993,-50.0,-55.0,-10.0,-4.699,-0.854,0.305,0.0,0.0,0,12.477318755603703,0.4930765
3,26.6,101182.0,-0.005,-0.005,-0.989,-50.0,-55.0,-10.0,-4.638,-0.793,0.244,0.0,0.0,0,12.39059784560745,0.4890855
4,26.7,101181.0,-0.005,-0.009,-0.991,-50.0,-55.0,-10.0,-4.577,-0.793,0.183,0.0,0.0,0,12.481481330668123,0.4910935
5,26.7,101183.0,-0.008,-0.012,-0.99,-50.0,-55.0,-10.0,-4.699,-1.159,0.305,0.0,0.0,0,12.307982668964357,0.490154
6,26.7,101179.0,-0.006,-0.015,-0.994,-50.0,-55.0,-10.0,-4.394,-0.61,0.244,0.0,0.0,0,12.654984074242627,0.4941485
7,26.7,101187.0,-0.009,-0.013,-0.992,-50.0,-55.0,-10.0,-4.333,-0.854,0.427,0.0,0.0,0,11.96099759050324,0.49215699999999996
8,26.7,101182.0,-0.007,-0.012,-0.989,-50.0,-55.0,-10.0,-4.272,-0.915,0.488,0.0,0.0,0,12.394731489592639,0.489157
9,26.7,101197.0,-0.006,-0.01,-0.995,-50.0,-55.0,-10.0,-4.333,-0.976,0.671,0.0,0.0,0,11.09360631492471,0.49508050000000003
10,26.7,101190.0,-0.006,-0.009,-0.994,-50.0,-55.0,-10.0,-4.577,-0.854,0.305,0.0,0.0,0,11.700769495285144,0.49407650000000003
11,26.7,101189.0,-0.01,-0.006,-0.986,-50.0,-55.0,-10.0,-4.516,-0.732,0.305,0.0,0.0,0,11.78751117338738,0.486166
12,26.7,101188.0,-0.007,-0.007,-0.988,-50.0,-55.0,-10.0,-4.394,-0.976,0.244,0.0,0.0,0,11.874253871793412,0.488121
13,26.7,101188.0,-0.003,-0.012,-0.995,-50.0,-55.0,-10.0,-4.516,-0.976,0.244,0.0,0.0,0,11.874253871793412,0.495089
14,26.7,101185.0,-0.01,-0.009,-0.989,-50.0,-55.0,-10.0,-4.211,-0.915,0.427,0.0,0.0,0,12.134488088967439,0.489151
15,26.7,101186.0,-0.009,-0.011,-0.998,-50.0,-55.0,-10.0,-4.516,-0.854,0.305,0.0,0.0,0,12.047742329557835,0.498103
16,26.7,101190.0,-0.01,-0.013,-0.988,-50.0,-55.0,-10.0,-4.699,-0.976,0.244,0.0,0.0,0,11.700769495285144,0.4882065
17,26.7,101192.0,-0.006,-0.01,-0.991,-50.0,-55.0,-10.0,-4.272,-0.793,0.244,0.0,0.0,0,11.527289199869141,0.4911085
18,26.7,101184.0,-0.013,-0.004,-0.966,-50.0,-55.0,-10.0,-4.455,-1.647,0.244,0.0,0.0,0,12.221234868762783,0.4666705
19,26.7,101180.0,-0.008,-0.009,-0.992,-50.0,-55.0,-10.0,-4.516,-0.671,0.305,0.0,0.0,0,12.56823219221129,0.49210449999999994
20,26.799,101190.0,-0.009,-0.015,-0.988,-50.0,-55.0,-10.0,-4.455,-0.793,0.0,0.0,0.0,0,11.70463268081135,0.488225
21,26.799,101185.0,-0.008,-0.01,-0.992,-50.0,-55.0,-10.0,-4.516,-0.732,0.427,0.0,0.0,0,12.138494473228928,0.492114
22,26.799,101192.0,-0.007,-0.011,-0.992,-50.0,-55.0,-10.0,-4.455,-0.732,0.305,0.0,0.0,0,11.531095108259294,0.49211699999999997
23,26.799,101187.0,-0.011,-0.01,-0.998,-50.0,-55.0,-10.0,-4.028,-0.793,0.305,0.0,0.0,0,11.964946694259984,0.4981125
24,26.799,101186.0,-0.005,-0.012,-0.99,-50.0,-55.0,-10.0,-4.516,-0.732,0.183,0.0,0.0,0,12.051720073398508,0.4901345
25,26.799,101187.0,-0.003,-0.012,-0.991,-50.0,-55.0,-10.0,-4.516,-0.793,0.305,0.0,0.0,0,11.964946694259984,0.49111699999999997
26,26.799,101189.0,-0.005,-0.011,-0.993,-50.0,-55.0,-10.0,-4.516,-1.037,0.122,0.0,0.0,0,11.791402997986898,0.49309749999999997
27,26.799,101187.0,-0.01,-0.008,-0.991,-50.0,-55.0,-10.0,-4.455,-1.037,0.305,0.0,0.0,0,11.964946694259984,0.4911225
28,26.799,101184.0,-0.007,-0.012,-0.994,-50.0,-55.0,-10.0,-4.577,-0.915,0.244,0.0,0.0,0,12.225269893781984,0.4941145
29,26.799,101184.0,-0.023,0.0,-0.917,-50.0,-55.0,-10.0,-5.065,-4.516,0.305,0.0,0.0,0,12.225269893781984,0.42070900000000006
30,26.799,101194.0,-0.002,-0.01,-0.988,-50.0,-55.0,-10.0,-4.76,-0.488,0.183,0.0,0.0,0,11.357561617962494,0.488124
31,26.799,101185.0,-0.004,-0.01,-0.993,-50.0,-55.0,-10.0,-4.211,-0.976,0.427,0.0,0.0,0,12.138494473228928,0.4930825
32,26.799,101186.0,-0.009,-0.012,-0.993,-50.0,-55.0,-10.0,-4.333,-0.854,0.305,0.0,0.0,0,12.051720073398508,0.493137
33,26.799,101186.0,-0.009,-0.011,-0.997,-50.0,-55.0,-10.0,-4.577,-0.915,0.305,0.0,0.0,0,12.051720073398508,0.49710550000000003
34,26.799,101185.0,-0.007,-0.012,-0.986,-50.0,-55.0,-10.0,-4.638,-1.342,0.244,0.0,0.0,0,12.138494473228928,0.4861945
35,26.799,101180.0,-0.004,-0.01,-0.99,-50.0,-55.0,-10.0,-4.516,-1.281,0.244,0.0,0.0,0,12.572381783630428,0.490108
36,26.799,101187.0,-0.003,-0.014,-0.988,-50.0,-55.0,-10.0,-4.394,-1.22,0.183,0.0,0.0,0,11.964946694259984,0.4881745
37,26.799,101192.0,-0.006,-0.014,-0.992,-50.0,-55.0,-10.0,-4.394,-1.098,0.305,0.0,0.0,0,11.531095108259294,0.492148
38,26.799,101185.0,-0.006,-0.011,-0.988,-50.0,-55.0,-10.0,-4.577,-1.159,0.183,0.0,0.0,0,12.138494473228928,0.4881505
39,26.799,101181.0,-0.006,-0.009,-0.996,-50.0,-55.0,-10.0,-4.516,-0.732,0.549,0.0,0.0,0,12.485602279981899,0.4960665
40,26.799,101185.0,-0.002,-0.009,-0.986,-50.0,-55.0,-10.0,-4.455,-1.22,0.305,0.0,0.0,0,12.138494473228928,0.4861405
41,26.799,101178.0,-0.004,-0.011,-0.99,-50.0,-55.0,-10.0,-4.394,-1.159,0.244,0.0,0.0,0,12.745943853433527,0.4901185
42,26.799,101187.0,-0.005,-0.012,-0.992,-50.0,-55.0,-10.0,-4.272,-0.854,0.122,0.0,0.0,0,11.964946694259984,0.49211649999999996
43,26.799,101175.0,-0.007,-0.011,-0.99,-50.0,-55.0,-10.0,-4.455,-0.854,0.366,0.0,0.0,0,13.006294614761904,0.490135
44,26.799,101178.0,-0.006,-0.011,-0.994,-50.0,-55.0,-10.0,-4.516,-0.915,0.244,0.0,0.0,0,12.745943853433527,0.4940965
45,26.799,101176.0,0.0,-0.007,-0.99,-50.0,-55.0,-10.0,-4.455,-1.037,0.244,0.0,0.0,0,12.919510006741957,0.49007449999999997
46,26.799,101189.0,-0.004,-0.01,-0.993,-50.0,-55.0,-10.0,-4.516,-0.976,0.061,0.0,0.0,0,11.791402997986898,0.4930825
47,26.799,101184.0,-0.004,-0.01,-0.995,-50.0,-55.0,-10.0,-4.516,-1.037,0.305,0.0,0.0,0,12.225269893781984,0.4950705
48,26.799,101188.0,-0.006,-0.009,-0.992,-50.0,-55.0,-10.0,-4.455,-0.854,0.244,0.0,0.0,0,11.878174335803108,0.4920905
49,26.799,101182.0,-0.007,-0.012,-0.999,-50.0,-55.0,-10.0,-4.333,-0.976,0.183,0.0,0.0,0,12.398823797137977,0.499097
50,26.799,101183.0,-0.005,-0.011,-0.99,-50.0,-55.0,-10.0,-4.394,-0.915,0.061,0.0,0.0,0,12.31204633507817,0.490123
51,26.799,101185.0,-0.003,-0.008,-0.995,-50.0,-55.0,-10.0,-4.333,-0.793,0.305,0.0,0.0,0,12.138494473228928,0.495049
52,26.799,101190.0,-0.005,-0.012,-0.988,-50.0,-55.0,-10.0,-4.638,-0.793,0.183,0.0,0.0,0,11.70463268081135,0.4881565
53,26.799,101189.0,0.0,-0.01,-0.997,-50.0,-55.0,-10.0,-4.516,-0.976,0.183,0.0,0.0,0,11.791402997986898,0.4970545
54,26.799,101190.0,-0.003,-0.01,-0.994,-50.0,-55.0,-10.0,-4.455,-1.098,0.244,0.0,0.0,0,11.70463268081135,0.4940725
55,26.799,101188.0,-0.001,-0.008,-0.993,-50.0,-55.0,-10.0,-4.455,-0.976,0.122,0.0,0.0,0,11.878174335803108,0.49305699999999997
56,26.799,101186.0,-0.004,-0.014,-0.991,-50.0,-55.0,-10.0,-4.516,-0.854,0.122,0.0,0.0,0,12.051720073398508,0.4911465
57,26.799,101184.0,-0.004,-0.009,-0.994,-50.0,-55.0,-10.0,-4.577,-0.793,0.366,0.0,0.0,0,12.225269893781984,0.4940665
58,26.799,101189.0,-0.002,-0.011,-0.989,-50.0,-55.0,-10.0,-4.272,-0.915,0.488,0.0,0.0,0,11.791402997986898,0.48912300000000003
59,26.799,101187.0,-0.004,-0.011,-0.986,-50.0,-55.0,-10.0,-4.516,-1.098,0.366,0.0,0.0,0,11.964946694259984,0.4861665
60,26.799,101187.0,-0.008,-0.013,-0.992,-50.0,-55.0,-10.0,-4.577,-1.098,0.183,0.0,0.0,0,11.964946694259984,0.4921485
61,26.799,101187.0,-0.007,-0.011,-0.996,-50.0,-55.0,-10.0,-4.394,-1.098,0.366,0.0,0.0,0,11.964946694259984,0.496093
62,26.799,101184.0,-0.006,-0.014,-0.99,-50.0,-55.0,-10.0,-4.333,-0.854,0.244,0.0,0.0,0,12.225269893781984,0.490166
63,26.799,101182.0,-0.002,-0.01,-0.995,-50.0,-55.0,-10.0,-4.638,-0.854,0.488,0.0,0.0,0,12.398823797137977,0.4950645
64,26.799,101188.0,-0.002,-0.011,-0.993,-50.0,-55.0,-10.0,-4.455,-0.671,0.366,0.0,0.0,0,11.878174335803108,0.493087
65,26.799,101183.0,-0.004,-0.011,-0.991,-50.0,-55.0,-10.0,-4.638,-0.854,0.244,0.0,0.0,0,12.31204633507817,0.491109
66,26.799,101179.0,-0.006,-0.009,-0.996,-50.0,-55.0,-10.0,-4.394,-1.037,0.244,0.0,0.0,0,12.659162308104058,0.4960665
67,26.799,101182.0,-0.006,-0.01,-0.996,-50.0,-55.0,-10.0,-4.394,-0.915,0.366,0.0,0.0,0,12.398823797137977,0.496076
68,26.799,101183.0,-0.007,-0.013,-0.99,-50.0,-55.0,-10.0,-4.516,-0.915,0.488,0.0,0.0,0,12.31204633507817,0.490159
69,26.799,101182.0,-0.007,-0.01,-0.996,-50.0,-55.0,-10.0,-4.577,-0.915,0.244,0.0,0.0,0,12.398823797137977,0.4960825
70,26.799,101186.0,-0.004,-0.009,-0.992,-50.0,-55.0,-10.0,-4.455,-0.854,0.244,0.0,0.0,0,12.051720073398508,0.4920805
71,26.799,101184.0,-0.004,-0.008,-0.986,-50.0,-55.0,-10.0,-4.638,-0.915,0.366,0.0,0.0,0,12.225269893781984,0.48613799999999996
72,26.799,101186.0,-0.009,-0.012,-0.997,-50.0,-55.0,-10.0,-4.455,-0.976,0.122,0.0,0.0,0,12.051720073398508,0.49711700000000003
73,26.799,101183.0,-0.009,-0.008,-0.999,-50.0,-55.0,-10.0,-4.272,-0.671,0.366,0.0,0.0,0,12.31204633507817,0.499073
74,26.799,101185.0,-0.006,-0.008,-0.987,-50.0,-55.0,-10.0,-4.516,-0.854,0.122,0.0,0.0,0,12.138494473228928,0.48713449999999997
75,26.799,101181.0,-0.008,-0.012,-0.994,-50.0,-55.0,-10.0,-4.577,-1.037,0.366,0.0,0.0,0,12.485602279981899,0.494122
76,26.799,101186.0,-0.006,-0.014,-1.024,-50.0,-55.0,-10.0,-4.211,-1.831,0.366,0.0,0.0,0,12.051720073398508,0.524404
77,26.799,101184.0,-0.013,-0.015,-0.995,-50.0,-55.0,-10.0,-4.15,-1.708,0.122,0.0,0.0,0,12.225269893781984,0.4952095
